,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
10,"Central New York Community Foundation: COVID-19 Community Support Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus:  Onondaga County  
The Central New York Community Foundation's COVID-19 Community Support Fund is designed to rapidly deploy flexible resources in the form of one-time operating grants on a rolling basis to nonprofits whose operations support vulnerable populations stressed by the outbreak.
Date Added:
April 15, 2020",2,https://cnycf.org/covid19grants#.Xpc2uZllBPZ, fund| fund,Central New York Community Foundation|Community Support Fund|Geographic Focus|Community Support Fund,,New York|one,"April 15, 2020"
11,"CERF+ (Craft Emergency Relief Fund)
Application Deadline:
none
Geographic Scope: USA
CERF+ provides emergency assistance to established artists working in a craft discipline. Emergency Relief Grants related to COVID-19 are currently focused on those infected with the virus that require intensive medical care
Date Added:
April 22, 2020",2,https://cerfplus.org/get-relief/apply-for-help/, fund,Craft Emergency Relief Fund,,,"April 22, 2020"
12,"Charitable Ventures: OC Community Resilience Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: Orange County
Charitable Ventures: OC Community Resilience Fund is providing support to community clinic operations for the purpose of providing preventative and medical services to those affected by COVID-19; funding to support emergency grants to individuals affected by COVID-19 due to quarantine, business closures and/or lay-offs, school or other community program closures and/or lay-offs; and funding to support community-based organization operations for nonprofits serving vulnerable populations and who can present a clear case of direct impact due to the medical or economic effects impact of the pandemic.
Date Added:
April 15, 2020",2,https://charitableventuresoc.org/resiliencefund/, fund| fund| fund| fund,"Charitable Ventures: OC Community Resilience Fund|California
Geographic Focus",,Orange County,"April 15, 2020"
13,"Charlottesville Area Community Foundation: Community Emergency Response Fund
Application Deadline:
none
Geographic Scope: Virginia
Geographic Focus:  Charlottesville and the counties of Albemarle, Nelson, Louisa, Fluvanna, Greene, Orange, and Buckingham  
The Charlottesville Area Community Foundation's Community Emergency Response Fund makes targeted grants to community-based organizations providing basic assistance, including food, housing, and medical supplies to the area’s most vulnerable residents.
Date Added:
April 15, 2020",2,https://www.cacfonline.org/initiatives, fund| fund,"Charlottesville Area Community Foundation|Community Emergency Response Fund|Nelson|Louisa, Fluvanna, Greene,|Buckingham  
|The Charlottesville Area Community Foundation's|Community Emergency Response Fund",,Virginia|Charlottesville|Albemarle|Orange,"April 15, 2020"
14,"Chester County Community Foundation: COVID-19 Grants
Application Deadline:
none
Geographic Scope: Pennsylvania
Geographic Focus: Chester County
The Chester County Community Foundation’s COVID-19 Rapid Response Fund provides flexible resources to Chester County nonprofits disproportionately impacted by COVID-19 and the economic consequences of this outbreak.
Date Added:
April 15, 2020",2,https://chescocf.org/covidgrant/, fund,Chester County Community Foundation|The Chester County Community Foundation|Rapid Response Fund,,Pennsylvania|Chester County|Chester County,"April 15, 2020"
15,"Circle for Justice Innovations: Strategic Opportunities Support Rapid Response Fund
Application Deadline:
none
Geographic Scope: USA
CJI’s SOS Rapid Response Fund has always provided flexible and immediate funding to organizations responding to changing political landscapes and working to build collective power at critical junctures. Grants of $2,500 to $5,000 currently support organizing that responds to opportunities or dangers affecting the health, safety, or human rights of incarcerated and directly impacted people based on Covid-19 policies or practices.
Date Added:
April 17, 2020",2,https://www.cjifund.org/apply-for-grants, fund| fund| fund,SOS Rapid Response Fund,"$2,500 to $5,000",,"April 17, 2020"
16,"City and County of San Francisco: COVID-19 Small Business Resiliency Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: City and County of San Francisco
The COVID-19 Small Business Resiliency Fund, administered in partnership with Northeast Community Federal Credit Union, allows impacted small business owners to access up to $10,000 for employee salaries and rent.
Date Added:
March 23, 2020",2,https://oewd.org/covid-19-small-business-resiliency-fund, fund| fund,Small Business Resiliency Fund|Small Business Resiliency Fund|Northeast Community Federal Credit Union,"up to $10,000",San Francisco|California|San Francisco,"March 23, 2020"
17,"City of Boston: Boston Resiliency Fund
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: greater Boston area
The Boston Resiliency Fund is the City of Boston’s effort to help coordinate fundraising and philanthropic efforts to provide essential services to Boston residents whose health and well-being are most immediately impacted by the coronavirus pandemic. Priorities of the fund are to provide food to Boston's children, families, and seniors; provide technology to Boston Public Schools students for remote learning; and provide support to first responders, front-line workers, and healthcare workers so they can effectively do their job and promote public health.
Date Added:
April 21, 2020",2,https://www.boston.gov/departments/treasury/boston-resiliency-fund, fund| fund| fund| fund,Boston Resiliency Fund|The Boston Resiliency Fund,,Boston|Massachusetts|Boston|the City of Boston|Boston|Boston|Boston|first,"April 21, 2020"
18,"City of Chicago: Chicago Small Business Resiliency Fund
Application Deadline:
none
Geographic Scope: Illinois
Geographic Focus: Chicago
The City of Chicago is establishing a $100 million Chicago Small Business Resiliency Fund, which will help to provide small businesses with emergency cash flow during this immediate health crisis. Funds will be provided to eligible businesses as low-interest loans.
Date Added:
March 20, 2020",2,https://www.surveymonkey.com/r/COVID19Chicago, fund| fund| fund,"Chicago Small Business Resiliency Fund|Illinois
Geographic Focus",$100 million,Chicago|Chicago|The City of Chicago|Chicago,"March 20, 2020"
19,"City of Philadelphia: Philadelphia COVID-19 Small Business Relief Fund
Application Deadline:
none
Geographic Scope: Pennsylvania
Geographic Focus: Philadelphia
This program, administered by the Philadelphia Department of Commerce and Philadelphia Industrial Development Corporation, helps Philadelphia businesses maintain payroll obligations and preserves jobs impacted by the spread of COVID-19. Due to extraordinary demand and limited resources, this program is currently only accepting applications for microenterprise grants of up to $5,000.
Date Added:
April 9, 2020",2,https://www.phila.gov/programs/philadelphia-covid-19-small-business-relief-fund/, fund,the Philadelphia Department of Commerce and|Philadelphia Industrial Development Corporation,"up to $5,000",Philadelphia|Philadelphia|Pennsylvania|Philadelphia|Philadelphia,"April 9, 2020"
20,"City of San Diego: Small Business Relief Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: The City of San Diego and the City of Chula Vista
To help businesses be resilient amid the economic challenges of the COVID-19 global pandemic, the City of San Diego has established a Small Business Relief Fund to provide grants, loans, and other resources to businesses located in the City of San Diego and the City of Chula Vista. This fund is designed to provide economic relief and support job retention.
Date Added:
March 30, 2020",2,https://www.sandiego.gov/form/small-business-relief-fund-application, fund| fund| fund,"Small Business Relief Fund|California
Geographic Focus",,San Diego|The City of San Diego|the City of Chula|the City of San Diego|the City of San Diego|the City of Chula Vista,"March 30, 2020"
21,"Cleveland Foundation: Greater Cleveland COVID-19 Rapid Response Fund
Application Deadline:
none
Geographic Scope: Ohio
Geographic Focus: Cleveland
The Cleveland Foundation’s COVID-19 Rapid Response Fund deploys resources to nonprofit organizations serving on the frontlines of the pandemic in Cuyahoga, Lake and Geauga counties. Funding is provided to address the urgent health, basic human services and economic needs of disproportionately impacted communities and individuals.
Date Added:
March 19, 2020",2,https://www.clevelandfoundation.org/news/covid-19/response-fund/, fund| fund| fund,Cleveland Foundation|Rapid Response Fund|The Cleveland Foundation|Rapid Response Fund,,Cleveland|Ohio|Cleveland|Cuyahoga|Lake|Geauga,"March 19, 2020"
22,"Co-Creation Hub
Application Deadline:
none
Geographic Scope: Africa,Global
Co-Creation Hub has issued a call for projects to fund and provide research and design support, via their Design Lab, for COVID-19 related projects in a particular African country, the African continent, or the world at large. Examples of supported projects include last mile communication that educates the public and ensures the right information reaches even remote locations; support for the infected and the most vulnerable in society; local production of essential medical supplies; and support for the food value chain, from producers to consumers, in the event of movement restrictions.
Date Added:
March 19, 2020",2,https://cchubnigeria.com/call-for-projects-funding-and-design-support-for-covid-19-projects/, fund,,,Africa|Global|African|African|last mile,"March 19, 2020"
23,"Coastal Community Foundation of South Carolina: COVID-19 Relief & Recovery Fund
Application Deadline:
none
Geographic Scope: South Carolina
Geographic Focus: Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton, and Horry counties
The COVID-19 Relief & Recovery Fund will provide flexible resources to organizations in our region working with priority groups, including senior citizens, children, health-compromised, and workers in the hospitality and tourism industry in our nine-county service area of Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton and Horry counties.
Date Added:
March 31, 2020",2,https://coastalcommunityfoundation.org/special-initiatives/covid-19-relief-recovery-fund/, fund| fund,Coastal Community Foundation of|COVID-19 Relief & Recovery Fund|Horry|The COVID-19 Relief & Recovery Fund,,South Carolina|South Carolina|Berkeley|Charleston|Colleton|Dorchester|Georgetown|Hampton|nine|Beaufort|Berkeley|Charleston|Colleton|Dorchester|Georgetown|Hampton|Horry,"March 31, 2020"
24,"Colorado Blueprint to End Hunger: COVID-19 Emergency Hunger Relief Fund
Application Deadline:
none
Geographic Scope: Colorado
The COVID-19 Emergency Hunger Relief Fund will provide flexible resources to entities working to support the food and nutritional needs of communities who are disproportionately impacted by COVID-19 and the economic consequences of the outbreak. Funding may be used to cover operating funds, including food, staff, packaging, safety supplies, food storage and transportation equipment, client communications, etc.
Date Added:
April 6, 2020",2,https://www.endhungerco.org/colorado-covid-hunger-relief-fund, fund| fund| fund| fund,,,Colorado|Colorado,"April 6, 2020"
25,"Colorado COVID Relief Fund
Application Deadline:
none
Geographic Scope: Colorado
The Colorado COVID Relief Fund’s purpose is to raise and coordinate allocation of funds based on prevention, impact and recovery needs of community-based organizations in Colorado. General operating grants of up to $25,000 are provided to nonprofit organizations, local government, school districts, and small businesses who are serving areas of the state with limited nonprofit capacity, or serving a community need resulting from the COVID-19 crisis.
Date Added:
April 6, 2020",2,https://covrn.com/covid-relief-fund/, fund| fund| fund,Colorado COVID Relief Fund|The Colorado COVID Relief Fund,"up to $25,000",Colorado|Colorado,"April 6, 2020"
26,"Community Food Centres Canada: Good Food Access Fund
Application Deadline:
Contact Community Food Centres Canada for current deadline information.
Geographic Scope: Canada
The Government of Canada has provided Community Food Centres Canada (CFCC) $5 million to help distribute emergency food assistance during the COVID-19 crisis. Interested applicants can email Community Food Centres Canada for information.
Date Added:
April 20, 2020",2,https://cfccanada.ca/en/Good-Food-Fund/Good-Food-Access-Fund-Grantees, fund,Community Food Centres Canada|Good Food Access Fund|Contact Community Food Centres Canada|Community Food Centres Canada|Community Food Centres Canada,$5 million,Canada|Canada,"April 20, 2020"
27,"Community Foundation for Greater Richmond: Central Virginia COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Virginia
Geographic Focus: Central Virginia
The Central Virginia COVID-19 Response Fund aims to address the most immediate urgent needs, as well as the longer-term effects of the pandemic and community recovery in Central Virginia. Funding priorities include organizations providing crisis response services, organizations who are experiencing a greater demand for current services due to the pandemic, and organizations who are experiencing hardship due to loss of revenue.
Date Added:
March 24, 2020",2,https://www.cfrichmond.org/Leadership-Impact/Central-Virginia-COVID-19-Response-Fund, fund| fund| fund,Community Foundation for Greater Richmond,,Central Virginia|Virginia|Central Virginia|The Central Virginia|Central Virginia,"March 24, 2020"
28,"Community Foundation for Ireland: Covid-19 Response Fund
Application Deadline:
none
Geographic Scope: Ireland
The Community Foundation for Ireland’s Covid-19 Community Fund is aimed at the immediate needs of organizations impacted by Covid-19 and focused on the following: people over 60, people with respiratory illnesses or cancer, people experiencing domestic abuse, isolated vulnerable people and families, and mental health issues for those affected by Covid- 19. Grants ranging from €1,000 to €10,000 are available.
Date Added:
April 9, 2020",2,https://www.communityfoundation.ie/grants/types-of-grants/covid-19-response-fund, fund| fund,Community Foundation|The Community Foundation|Community Fund,,Ireland|Ireland|Ireland|60|19,"April 9, 2020"
29,"Community Foundation for Monterey County: COVID-19 Relief Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: Monterey County
The COVID-19 Relief Fund will award operating grants on an ongoing basis to nonprofit organizations and public agencies in Monterey County whose operations in support of vulnerable populations and those affected by the pandemic have been stressed by the outbreak. 
Date Added:
March 23, 2020",2,https://www.cfmco.org/nonprofits/grants/covid-19-relief-grants/, fund| fund,Community Foundation|The COVID-19 Relief Fund,,Monterey County|California|Monterey County|Monterey County,"March 23, 2020"
30,"Community Foundation for Nantucket: Fund for Emergency Relief
Application Deadline:
none
Geographic Scope: Massachusetts
Geographic Focus: Nantucket
The Community Foundation for Nantucket’s Fund for Emergency Relief provides operational assistance to the Island’s nonprofit human service providers. The goal of this fund is to sustain critical care and services during this pandemic. Priorities include access to food and nutrition services, housing-related support, behavioral health and addiction services, access to healthcare, essential services for the elderly, and groups/agencies that provide critical services to the community who are unable to do so due to mandated closures.
Date Added:
April 21, 2020",2,https://cfnan.org/receive/nantucket-fund-for-emergency-relief/, fund| fund| fund,Community Foundation for Nantucket: Fund for Emergency|The Community Foundation,,Massachusetts|Island,"April 21, 2020"
31,"Community Foundation for Palm Beach and Martin Counties: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Florida
Geographic Focus: Palm Beach and Martin counties
The COVID-19 Response Fund will strategically deploy resources to community-based organizations that are working with communities disproportionately impacted by the coronavirus outbreak. 
Date Added:
March 24, 2020",2,https://www.yourcommunityfoundation.org/Donors/Give-to-Donor-Funds?fn=COVID-19%20Response%20Fund, fund| fund,Community Foundation|Martin|The COVID-19 Response Fund,,Palm Beach|Martin Counties|Florida|Palm Beach,"March 24, 2020"
32,"Community Foundation for San Benito County: COVID-19 Fund
Application Deadline:
none
Geographic Scope: California
Geographic Focus: San Benito County, CA
The COVID-19 Fund supports nonprofits that serve vulnerable populations with basic needs (food, housing, living expenses, transportation costs, etc.) related to job layoffs or unemployment and those that experience staffing or volunteer gaps due to quarantines and social distancing. The application form is available here.
Date Added:
April 3, 2020",2,https://givesanbenito.org/, fund| fund,Community Foundation,,San Benito County|California|San Benito County,"April 3, 2020"
33,"Community Foundation for the Greater Capital Region: Capital Region Community COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Greater Capital Region
The Capital Region Community COVID-19 Response Fund will provide flexible resources to nonprofit organizations working with local communities who are disproportionately impacted by coronavirus and the economic consequences of this outbreak. One-time operating grants will help fund frontline human services organizations that have deep roots in the community and strong experience working with vulnerable populations. Funding will be provided to organizations located and operating in Albany, Rensselaer, Saratoga and Schenectady Counties. The committee will also consider supporting nonprofits operating in the surrounding counties of Columbia, Fulton, Greene, Montgomery, Schoharie, Warren, and Washington. (In order to move resources quickly, the Foundation is not hosting a formal application process for the Fund. Interested organizations may email the Foundation.)
Date Added:
March 24, 2020",2,https://www.cfgcr.org/covid-19-response-fund/, fund| fund| fund| fund| fund,Community Foundation|Capital Region Community|The Capital Region Community|Response Fund|Montgomery|Warren|Foundation|Fund|Foundation,,New York|One|Albany|Rensselaer|Columbia|Fulton|Greene|Schoharie|Washington,"March 24, 2020"
34,"Community Foundation for the Land of Lincoln: COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Illinois
Geographic Focus: Sangamon County, IL 
The COVID-19 Response Fund aims to deploy resources to community-based organizations at the frontlines of a coronavirus spread in Illinois’ greater capital region. The application is available here.  https://app.smarterselect.com/programs/65687-Community-Foundation-For-The-Land-Of-Lincoln
Date Added:
April 3, 2020",2,http://www.cfll.org/, fund| fund,"Community Foundation|Lincoln|Illinois
Geographic Focus",,Sangamon County|IL|Illinois,"April 3, 2020"
35,"Community Foundation for the Ohio Valley: Emergency Impact Fund
Application Deadline:
none
Geographic Scope: Ohio
Geographic Focus: Hancock, Brooke, Ohio, Marshall, Wetzel, and Tyler, WV; and Belmont and Jefferson, OH  
The Community Foundation for the Ohio Valley’s Emergency Impact Fund is accepting applications from organizations that have been directly impacted by the coronavirus in an unexpected loss of revenue or unexpected increase in expenses. Priority will be extended to organizations providing basic human needs.
Date Added:
April 17, 2020",2,https://www.cfov.org/grants/, fund| fund,Community Foundation|Tyler|WV,,the Ohio Valley|Ohio|Hancock|Brooke|Ohio|Marshall|Wetzel|Belmont|Jefferson|the Ohio Valley,"April 17, 2020"
36,"Community Foundation of Burke County: Community Emergency Response Fund
Application Deadline:
none
Geographic Scope: North Carolina
Geographic Focus: Burke County  
The Community Foundation of Burke County’s Community Emergency Response Fund focuses on funding emergency human service programs, i.e. food, medical/mental health services, and shelter/housing.
Date Added:
April 15, 2020",2,http://www.cfburkecounty.org/, fund| fund| fund,Community Foundation of Burke County:|Community Emergency Response Fund,,North Carolina|Burke County,"April 15, 2020"
37,"Community Foundation of Elmira-Corning and the Finger Lakes
Application Deadline:
none
Geographic Scope: New York
Geographic Focus: Chemung, Schuyler, Steuben and Yates Counties
The Community Foundation of Elmira-Corning and the Finger Lakes is providing support to nonprofit organizations and individuals in response to COVID-19. The COVID-19 Unity Response Fund provides grants of up to $25,000 to nonprofits that focus on basic needs, support for vulnerable populations, and easing the burden on essential workers. Mini-grants of up to $1,000 are available to assist nonprofit organizations with: costs associated with employees telecommuting (iPads, laptops); and video conferencing or virtual meeting platform subscriptions. Micro Grants for Individuals of up to $250 are available for creative community service, such as small businesses that incur additional expenses as a result of offering free food, books to start a virtual neighborhood read, and care packages for older friends and neighbors.
Date Added:
March 24, 2020",2,http://www.communityfund.org/grants-and-applications, fund,Community Foundation of Elmira-Corning|Geographic Focus|Steuben|The Community Foundation of Elmira-Corning|Unity Response Fund|iPads|Micro Grants for Individuals,"up to $25,000|up to $1,000|up to $250",New York|Chemung|Schuyler,"March 24, 2020"
38,"Community Foundation of Greater Dubuque: Disaster Recovery Fund/COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: Iowa
Geographic Focus: Dubuque region
The Disaster Recovery Fund/COVID-19 Response Fund will make grants focused on reducing the economic and health impacts on vulnerable populations prior to and following a disaster as well as long-term needs that may emerge. Grants will fill gaps in services and needs that are not being met by existing nonprofit, local, state and federal resources and programs.
Date Added:
March 24, 2020",2,https://www.dbqfoundation.org/disaster-recovery-fund-covid-19-response-fund-support-your-neighbors-and-friends, fund| fund| fund| fund,Community Foundation of Greater Dubuque: Disaster Recovery Fund/COVID-19 Response Fund|The Disaster Recovery Fund/COVID-19 Response Fund,,Iowa|Dubuque,"March 24, 2020"
39,"Community Foundation of Greater Flint and United Way of Genesee County: Greater Flint Urgent Relief Fund
Application Deadline:
none
Geographic Scope: Michigan
Geographic Focus: Genesee County
The Greater Flint Urgent Relief Fund will award grants on a regular basis to nonprofits that are addressing the gaps that are surfacing in key services for the most vulnerable community members.
Date Added:
March 31, 2020",2,https://www.cfgf.org/Our-Work-Impact/Current-Initiatives/Greater-Flint-Urgent-Relief-Fund, fund| fund,Community Foundation of Greater Flint|Greater Flint Urgent Relief Fund|The Greater Flint Urgent Relief Fund,,United Way|Genesee County|Michigan|Genesee County,"March 31, 2020"
40,"Community Foundation of Greater Huntsville: Emergency Relief Fund
Application Deadline:
none
Geographic Scope: Alabama
Geographic Focus: Greater Huntsville area
The Community Foundation is accepting Emergency Relief Fund grant applications from local nonprofit organizations who are on the front line of this crisis providing basic needs and health services to those affected by the COVID-19 situation. To apply for the Emergency Relief Fund grant, click here.
Date Added:
April 21, 2020",2,https://www.communityfoundationhsv.org/covid, fund| fund| fund,Community Foundation of Greater Huntsville: Emergency Relief Fund|The Community Foundation|Emergency Relief Fund|the Emergency Relief Fund,,Alabama,"April 21, 2020"
41,"Community Foundation of Greater Memphis: Mid-South COVID-19 Regional Response Fund
Application Deadline:
none
Geographic Scope: USA
Geographic Focus: West Tennessee, eastern Arkansas, and northern Mississippi
The Mid-South COVID-19 Regional Response Fund provides flexible funding to organizations serving community members who have been impacted by novel coronavirus and the economic consequences of the pandemic in West Tennessee, eastern Arkansas, and northern Mississippi. In order to move resources quickly and not further burden organizations on the frontlines of the pandemic, the Foundation is not hosting a formal application process at this time. Nonprofit organizations can fill out a survey to give the Foundation an understanding of what they are seeing in the community.
Date Added:
March 26, 2020",2,https://www.cfgm.org/give-now/covid-19-regional-response-fund/, fund| fund| fund,Community Foundation of Greater Memphis|Regional Response Fund|Foundation|Foundation,,West Tennessee|Arkansas|Mississippi|West Tennessee|Arkansas|Mississippi,"March 26, 2020"
42,"Community Foundation of Greene County: Greene County Emergency Response Fund
Application Deadline:
every Monday
Geographic Scope: Pennsylvania
Geographic Focus: Greene County
The Community Foundation of Greene County’s Emergency Response Fund provides funds that may be used for operating support so organizations have the capacity to provide services in a quick and orderly fashion, as well as provide direct relief of individuals and families.
Date Added:
April 15, 2020",2,http://www.cfgcpa.org/emergency-response-grants/, fund| fund| fund,Community Foundation of Greene County:|Greene County Emergency Response Fund|The Community Foundation of Greene County’s,,Pennsylvania,"Monday|April 15, 2020"
43,"Community Foundation of Henderson County: Henderson County COVID-19 Response Fund
Application Deadline:
none
Geographic Scope: North Carolina
Geographic Focus: Henderson County, NC
The Henderson County COVID-19 Response Fund will rapidly deploy resources to community-based organizations at the frontlines of the coronavirus pandemic in Henderson County, North Carolina.
Date Added:
April 14, 2020",2,https://www.cfhcforever.org/henderson-county-covid-19-response-fund, fund| fund,Community Foundation|Response Fund,,Henderson County|Henderson County|North Carolina|Henderson County|NC|The Henderson County|Henderson County|North Carolina,"April 14, 2020"
44,"Community Foundation of Jackson Hole: Community Emergency Response Fund
Application Deadline:
none
Geographic Scope: Wyoming
Geographic Scope: Teton County
The Community Foundation of Jackson Hole’s Community Emergency Response Fund supports local nonprofits providing essential front line services and protecting at-risk populations.
Date Added:
April 15, 2020",2,https://www.cfjacksonhole.org/community-emergency-response-fund-activated/, fund| fund,Community Foundation of Jackson Hole: Community Emergency Response Fund|The Community Foundation|Community Emergency Response Fund,,Wyoming|Teton County|Jackson Hole’s,"April 15, 2020"
