,Article_Text,Web_Page_No,Article_URL,Matchd_words,ORG,Money,Other,Dates
11,"Indigo Love of Reading Foundation: Community Response Fund
Application Deadline:
Round 1 applications: May 1, 2020
Geographic Scope: Canada
The Indigo Love of Reading Foundation is committing $1,000,000 in funding for books and educational resources to support Canadian families in high-needs communities during the COVID-19 pandemic.  Eligible applicants include registered charities and community-based nonprofit organizations in Canada currently serving high needs children/youth and their families.
Date Added:
April 20, 2020",1,https://www.loveofreading.org/community-response-fund/, fund| fund,Community Response Fund,"1,000,000",Canada|The Indigo Love of Reading Foundation|Canadian|Canada,"1|May 1, 2020|April 20, 2020"
12,"The City of Newark Creative Catalyst Fund
Application Deadline:
May 1, 2020
Geographic Scope: New Jersey
Geographic Focus: Newark
The City of Newark Creative Catalyst Fund is designed to support long-term sustainability and assist Newark-based artists and small to mid-sized arts and cultural organizations impacted by COVID-19. General operating support and artist fellowships are available.
Date Added:
April 23, 2020",1,https://newarkarts.org/creative-catalyst-fund/, fund| fund,,,The City of Newark Creative Catalyst Fund|New Jersey|Newark|The City of Newark|Newark,"May 1, 2020|April 23, 2020"
13,"Historic England: COVID-19 Emergency Response Fund
Application Deadline:
May 3, 2020
Geographic Scope: England
Historic England has launched the COVID-19 Emergency Response Fund to help tackle the impact of Coronavirus on the heritage sector in England. The aim of the Fund is to extend the safety net as far as possible for the sector by helping small heritage organizations both to survive the immediate challenges posed by the pandemic, and to prepare for recovery.
Date Added:
April 24, 2020",1,https://historicengland.org.uk/coronavirus/fund/, fund| fund| fund,Historic England|Coronavirus,,England|England,"May 3, 2020|April 24, 2020"
14,"Open Contracting Partnership: COVID-19 Research Opportunity
Application Deadline:
May 3, 2020
Geographic Scope: Global
The Open Contracting Partnership and Hivos are seeking action research partners to contribute to more effective procurement to address the COVID-19 pandemic. This would include projects to collect and analyze data related to emergency procurement with the objective of improving efficiency, effectiveness, fairness, integrity, and equity. Research grants of 3,000 are made upon completion of deliverables. Organizations or individuals from any country are eligible to apply.
Date Added:
April 24, 2020",1,https://open-contracting-partnership.forms.fm/covid-19-research-opportunity/forms/7895, contribut,Open Contracting Partnership: COVID-19,,"3,000","May 3, 2020|April 24, 2020"
15,"Elhra: Research to Support COVID-19 Response in Humanitarian Settings
Application Deadline:
May 4, 2020
Geographic Scope: Global
Elrha is launching an urgent funding call for research proposals to support the COVID-19 response in humanitarian settings. The call aims to fund public health research that will produce robust findings that will contribute to the effectiveness of the current humanitarian response and increase the evidence base for future responses to similar infectious disease outbreaks.
Date Added:
April 1, 2020",1,https://www.elrha.org/funding-opportunity/research-to-support-covid-19-response-in-humanitarian-settings/, fund| fund| contribut,,,,"May 4, 2020|April 1, 2020"
16,"Mother Cabrini Health Foundation: Coronavirus Emergency Support Grants
Application Deadline:
May 4, 2020
Geographic Scope: New York
The Mother Cabrini Health Foundation is dedicating $50 million in funding to support nonprofit organizations addressing the health-related needs of New York residents throughout the state as a direct result of COVID-19. Coronavirus Emergency Support Grants will target the health and economic impact of those most affected by this pandemic, including elderly individuals and those with preexisting medical conditions.
Date Added:
April 16, 2020",1,https://www.cabrinihealth.org/apply, fund,The Mother Cabrini Health Foundation,$50 million,New York|New York,"May 4, 2020|April 16, 2020"
17,"Spencer Foundation: Research Grants on Education - COVID-19 Related Special Grant Cycle
Application Deadline:
May 4, May 18, and June 8, 2020
Geographic Scope: USA
The COVID-19 Related Research Grants support education research projects that will contribute to understanding the rapid shifts in education in this time of crisis and change. The focus is on: 1.) studies that aim to understand and disrupt the reproduction and deepening of educational inequality caused by the COVID-19 crisis; and 2.) research projects that are working to reimagine educational opportunities in these times.
Date Added:
April 24, 2020",1,https://www.spencer.org/grant_types/research-grants-on-education-covid-19-related-special-grant-cycle, contribut,Spencer Foundation|Related Research Grants,,1|2,"May 4|May 18|June 8, 2020|April 24, 2020"
18,"Tasmanian Government
Application Deadline:
Varies by program to include May 4 and July 6. 2020
Geographic Scope: Tasmania
The Tasmanian Government is offering a number of COVID-19 related funds to support the individuals and organizations leading Tasmania’s renowned cultural sector. Programs include the Arts and Screen Digital Production Fund, Tasmanian Contemporary Music Fund, Additional Screen Development Fund, and Additional Arts Organizations Funding.
Date Added:
April 3, 2020",1,https://www.arts.tas.gov.au/news_articles/cultural_and_creative_industries_stimulus_package, fund| fund| fund| fund| fund,The Tasmanian Government|Tasmanian Contemporary Music Fund|Additional Screen Development Fund|Additional Arts Organizations Funding,,Tasmanian|Tasmania|Tasmania,"May 4 and July 6.|April 3, 2020"
19,"Borealis Philanthropy: Disability Inclusion Fund
Application Deadline:
May 6, 2020
Geographic Scope: USA
The Disability Inclusion Fund (DIF) supports U.S. groups run by and for disabled people to lead transformational change. The DIF is launching a $200,000 rapid response fund to provide support for organizations on the front lines that are serving people with disabilities during COVID-19. This will include support for mutual aid, organizing, policy, and systems-change advocacy. Applicants can request a maximum of $15,000 to support their COVID-19 efforts.
Date Added:
April 22, 2020",1,https://borealisphilanthropy.org/grantmaking/disability-inclusion-fund/, fund| fund| fund| aid,Borealis Philanthropy:|The Disability Inclusion Fund|DIF,"200,000|15,000",U.S.,"May 6, 2020|April 22, 2020"
20,"AXA Research Fund: Exceptional Flash Call for Proposals
Application Deadline:
May 7, 2020
Geographic Scope: Global
The AXA Research Fund's Exceptional Flash Call for Proposals, Mitigating risk in the wake of the COVID-19 pandemic, will support research projects in the following areas: protecting vulnerable populations from epidemics and catastrophes, including COVID-19; improving data collection and quality in health; understanding the effects of confinement and social distancing; early warning and preparedness; and preserving the environment and our health. Preference will be given to projects with a local focus and potential applicability on a global scale. Academic institutions globally are eligible to apply. The grants aim at supporting mid-career researchers.
Date Added:
April 24, 2020",1,https://www.axa-research.org/fr/page/call-for-proposals-mitigating-risk-in-the-wake-of-the-covid-19-pandemic, fund| fund,AXA Research Fund|The AXA Research Fund's,,Exceptional Flash Call for Proposals,"May 7, 2020|April 24, 2020"
21,"St. David's Foundation: COVID-19 Recovery Fund
Application Deadline:
May 7, August 13, and October 15, 2020
Geographic Scope: Texas
Geographic Focus: Bastrop, Caldwell, Hays, Travis, and Williamson counties
St. David’s Foundation has launched a $10 million COVID-19 Recovery Fund to support nonprofit organizations during this challenging and uncertain time. The Fund will provide grants supporting both immediate and intermediate needs of nonprofit organizations working on the front lines to provide emergency assistance to those impacted by COVID-19 in Bastrop, Caldwell, Hays, Travis, and Williamson counties in Texas.
Date Added:
April 14, 2020",1,https://stdavidsfoundation.org/covid19-recovery-fund/, fund| fund| fund,St. David's Foundation|Caldwell|Travis|Williamson|Foundation|Recovery Fund|Fund|Caldwell|Travis|Williamson,$10 million,Texas|St. David’s|Bastrop|Texas,"May 7, August 13|October 15, 2020|April 14, 2020"
22,"Women's Foundation of Minnesota: COVID-19 Women and Girls Response Fund
Application Deadline:
Applications will be accepted by May 8 and June 12, 2020, and on a rolling basis through 2021.
Geographic Scope: Minnesota
The Women's Foundation of Minnesota is offering support to Minnesota organizations and initiatives through the COVID-19 Women and Girls Response Fund. The focus is on organizations serving women and girls experiencing gender-based violence, older women, and women and girls who need short-term financial support for everyday needs due to the effects of COVID-19 (childcare, eldercare, food, housing, transportation, health, and wellness). Emergency grants of up to $10,000 will be provided.
Date Added:
April 9, 2020",1,https://www.wfmn.org/new-response-fund-invests-in-women-girls-impacted-by-covid-19/, fund| fund,Women's Foundation of Minnesota|Girls Response Fund|The Women's Foundation of Minnesota,"up to $10,000",Minnesota|Minnesota,"May 8 and June 12, 2020|2021|April 9, 2020"
23,"4Culture: Cultural Relief Fund
Application Deadline:
May 15, 2020
Geographic Scope: Washington
Geographic Focus: King County
As closures, cancellations, and loss of work due to COVID-19 impact the King County cultural sector, our Cultural Relief Fund will distribute $1 million over the coming months.
Date Added:
March 31, 2020",1,https://www.4culture.org/cultural-relief-fund/, fund| fund,Cultural Relief Fund,$1 million,Washington|King County|King County,"May 15, 2020|the coming months|March 31, 2020"
24,"Greater Milwaukee Foundation: MKE Responds Fund
Application Deadline:
May 15, 2020
Geographic Scope: Wisconsin
Geographic Focus: greater Milwaukee
The Greater Milwaukee Foundation’s MKE Responds Fund awards grants for emergency needs, for projects providing food, housing, medical or behavioral services in response to COVID-19. 
Date Added:
April 16, 2020",1,https://www.greatermilwaukeefoundation.org/donors/give-online/mkeresponds/, fund| fund,Greater Milwaukee Foundation|MKE Responds Fund|The Greater Milwaukee Foundation|MKE Responds Fund,,Wisconsin|Milwaukee,"May 15, 2020|April 16, 2020"
25,"Lion's Share: COVID-19 Response - Resilience in Wildlife Community Grants
Application Deadline:
May 15, 2020
Geographic Scope: Developing Countries
The Lion’s Share's COVID-19 Response - Resilience in Wildlife Community Grants support initiatives in communities dependent on wildlife-based tourism in developing countries. The grants of $25,000 to $50,000 will be disbursed to nonprofit organizations seeking funds to demonstrate innovative local-level action to increase resilience and well-being of communities against external shocks such as pandemic crises in wildlife rich areas.
Date Added:
April 24, 2020",1,https://www.thelionssharefund.com/content/thelionssharefund/en/home/news/COVID-19-response-call-for-proposals/, fund,Lion|Response - Resilience|Response - Resilience|Wildlife Community Grants,"25,000|50,000",,"May 15, 2020|April 24, 2020"
26,"Funding Collaborative of Greater Baltimore: COVID-19 Response
Application Deadline:
May 29, 2020
Geographic Scope: Maryland
Geographic Focus: Baltimore City, Baltimore County, Anne Arundel County, Carroll County, and Harford County.
The COVID-19 Response, an initiative of the Funding Collaborative of Greater Baltimore, will support nonprofit organizations in the greater Baltimore region seeking resources to support changes in operations and sustainability due to COVID-19. The majority of funded proposals will receive $10,000 to $25,000.
Date Added:
April 21, 2020",1,https://www.greaterbaltimorecovidresponse.org/rfp, fund| fund,Anne Arundel County|Response,"$10,000 to $25,000",Maryland|Baltimore City|Baltimore County|Carroll County|Harford County|the Funding Collaborative of Greater Baltimore|Baltimore,"May 29, 2020|April 21, 2020"
27,"North Central Accountable Community of Health: COVID-19 Community Support Fund
Application Deadline:
Applications will be accepted and funded on a weekly basis until May 29, 2020.
Geographic Scope: Washington
Geographic Scope: North Central Washington
North Central Accountable Community of Health (NCACH) invests in partnerships and capacity to improve rural health across North Central Washington. NCACH is granting $150,000 to community groups, schools, and nonprofits through the COVID-19 Community Support Fund, which awards up to $5,000 for projects and initiatives that promote communities staying home and staying healthy. This funding is for critical equipment or resources that support communities who are isolated or social distancing, or supporting essential workers and their families.
Date Added:
April 20, 2020",1,https://ncach.org/covid-19-community-support-fund/, fund| fund| fund| fund,North Central Accountable Community of Health: COVID-19 Community Support Fund|NCACH|NCACH|Community Support Fund,"150,000|up to $5,000",Washington|North Central|North Central|North Central|Washington,"weekly|May 29, 2020|April 20, 2020"
28,"Community Foundation of Greater Birmingham: COVID-19 Response
Application Deadline:
May 30, 2020
Geographic Scope: Alabama
Geographic Focus: the greater Birmingham area, including Blount, Jefferson, St. Clair, Shelby, and Walker counties
The Community Foundation of Greater Birmingham’s COVID-19 Response fund focuses on resiliency in communities by addressing the immediate and basic needs of economically vulnerable populations impacted by COVID-19. Grants are designed to complement the work of local public health, nonprofit, and government entities, and to expand local capacity to support individuals and families experiencing hardship because of the outbreak and related closures and disruptions.
Date Added:
April 21, 2020",1,https://www.cfbham.org/covid-19-response-funds/covid-19-response-for-nonprofits/, fund,Community Foundation of Greater Birmingham|Shelby|Walker|The Community Foundation of Greater Birmingham,,Alabama|Birmingham|Blount|Jefferson|St. Clair,"May 30, 2020|April 21, 2020"
29,"NDN Collective: COVID-19 Response Project
Application Deadline:
Grant review and funding notifications will occur on a weekly basis through the end of May 2020.
Geographic Scope: USA
The NDN Collective's COVID-19 Response Project provides rapid response funding to established, Indigenous-led, community-based organizations and tribes. Grants are available to support the following services and relief efforts: medical supplies, food delivery, youth and elder care, educational access, shelter and housing, economic relief, social-emotional support, cultural and spirit-aligned support, and access to accurate information.
Date Added:
April 24, 2020",1,https://ndncollective.org/covid-19/, fund| fund,The NDN Collective's|Response Project,,,"weekly|May 2020|April 24, 2020"
30,"Community Foundation of Fayette County: Emergency Relief Fund
Application Deadline:
June 1, 2020
Geographic Scope: Pennsylvania
Geographic Focus: Fayette County
The Emergency Relief Fund provides grants to health and human service organizations, and other nonprofits, serving Fayette County in response to local disasters and emergencies. Currently, the Fund is accepting applications to address the needs of organizations that have been directly impacted by the COVID-19 virus.  
Date Added:
April 23, 2020",1,https://app.smarterselect.com/programs/65752-Cffc, fund| fund| fund,Community Foundation of Fayette County:|The Emergency Relief Fund|Fund,,Pennsylvania|Fayette County,"June 1, 2020|April 23, 2020"
31,"Islamic Development Bank: Transform Fund 2020
Application Deadline:
June 1, 2020
Geographic Scope: Global
Geographic Focus: Islamic Development Bank Member Countries
The Transform Fund Call for Innovation 2020 will focus entirely on supporting the Islamic Development Bank’s Member Countries long-term preparedness and response to the COVID-19 pandemic. Interests include the adaptation of advanced technology, innovative health supply chain management systems, development of low-cost rapid tests and screening methods, and capacity building interventions.
Date Added:
April 3, 2020",1,https://www.isdb-engage.org/en/challenge/call-for-innovation-via-transform-fund-2020, fund| fund,Islamic Development Bank:|Islamic Development Bank|the Islamic Development Bank,,2020,"June 1, 2020|April 3, 2020"
32,"Private Enterprise Development in Low-Income Countries: Special Exploratory Research Grant Call on the Economic Impacts of Coronavirus
Application Deadline:
June 1, 2020
Geographic Scope: Developing Countries
Private Enterprise Development in Low-Income Countries (PEDL) is inviting applications to a special Exploratory Research Grant call for projects addressing the economic impacts of coronavirus in developing countries. Funding of  £10,000 to £40,000 will be provided to individual researchers for research that can inform policymakers and other stakeholders on the economic impacts of coronavirus in developing countries so that the costs can be mitigated as much as possible.
Date Added:
April 24, 2020",1,https://pedl.cepr.org/content/special-call-proposals-economic-impacts-coronavirus, fund,Private Enterprise Development in Low-Income Countries:,"10,000|40,000",,"June 1, 2020|April 24, 2020"
33,"Stevens Initiative: Coronavirus Response Fund
Application Deadline:
June 12, 2020
Geographic Scope: USA,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestinian Territories,Qatar,Saudi Arabia,Syria,Tunisia,United Arab Emirates,Yemen
The Coronavirus Response Fund provides resources to help organizations in the United States and the Middle East and North Africa conduct virtual exchange programs to engage young people and educators affected by the pandemic. Virtual exchange efforts include programs that use online technology to connect individuals and small groups between countries, are based on a curriculum or activity plan, involve qualified facilitators (such as educators or others), and involve sustained communication and collaboration synchronously (in real-time) or asynchronously over a period of time. Activities must be conducted in the United States and in one or more of the following countries: Algeria, Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Morocco, Oman, the Palestinian Territories, Qatar, Saudi Arabia, Syria, Tunisia, United Arab Emirates, and Yemen. Programs involving refugees from these countries who are currently in countries not listed are also eligible.
Date Added:
April 24, 2020",1,https://stevensinitiative.smapply.io/prog/stevens_initiative_coronavirus_response_fund/, fund| fund,Stevens Initiative|Coronavirus Response Fund|The Coronavirus Response Fund,,USA|Algeria|Bahrain|Egypt|Iran|Iraq|Israel|Jordan|Kuwait|Lebanon|Libya|Morocco|Oman|Palestinian Territories|Qatar|Saudi Arabia|Syria|Tunisia|United Arab Emirates|Yemen|the United States|the Middle East|North Africa|the United States|Algeria|Bahrain|Egypt|Iran|Iraq|Israel|Jordan|Kuwait|Lebanon|Libya|Morocco|Oman|the Palestinian Territories|Qatar|Saudi Arabia|Syria|Tunisia|United Arab Emirates|Yemen,"June 12, 2020|April 24, 2020"
34,"Rocky Mountain Power Foundation: COVID-19 Relief and Support Funds
Application Deadline:
June 15 and September 15, 2020
Geographic Scope: California,Idaho,Oregon,Utah,Washington,Wyoming
Geographic Focus: Northern California, southeastern Idaho, Oregon, Utah, central/southeastern Washington, and Wyoming
The Rocky Mountain Power Foundation has committed immediate COVID-19 relief support for organizations that provide critical far-reaching services in each of the Foundation’s operating states, with an emphasis on those organizations serving the most at-risk community members.
Date Added:
April 22, 2020",1,https://www.rockymountainpower.net/community/foundation/covid-19-relief-support.html, fund,Rocky Mountain Power Foundation|The Rocky Mountain Power Foundation|Foundation,,California|Idaho|Oregon|Utah|Washington|Wyoming|Northern California|Idaho|Oregon|Utah|Washington|Wyoming,"June 15 and September 15, 2020|April 22, 2020"
35,"COVID-19 Detect and Protect Challenge
Application Deadline:
June 30, 2020
Geographic Scope: Global
The COVID-19 Detect and Protect Challenge, an initiative of the United Nations Development Programme in partnership with Hackster.io, is calling on Hackster's global community to support developing countries through the sharing and transfer of open source technology. The Challenge has three priority actions: 1.) design replicable, low-cost tools to aid in coronavirus detection; 2.) flatten the curve in communities with preventive solutions; and 3.) reduce the disease's impact on economies of these vulnerable areas. Winners can receive up to $25,000 in prizes.
Date Added:
April 15, 2020",1,https://www.covid19detectprotect.org/, aid,Protect Challenge|Protect Challenge|the United Nations Development Programme|Hackster.io|Hackster|Challenge,"up to $25,000",three|1|2|3,"June 30, 2020|April 15, 2020"
36,"Your Community Foundation of North Central West Virginia: Emergency Impact Fund
Application Deadline:
June 30, 2020
Geographic Scope: West Virginia
Geographic Focus: Harrison, Marion, Monongalia, Preston, and Taylor counties
Your Community Foundation of North Central West Virginia’s Emergency Impact Fund is providing grants for unanticipated, additional expenses related to COVID-19. The current focus is on funding organizations providing human services, including emergency food, shelter, and other basic needs.  
Date Added:
April 17, 2020",1,https://www.ycfwv.org/ycf-establishes-emergency-impact-fund-to-aid-in-covid-19-response/, fund| fund| fund,"Community Foundation of North Central West|Harrison, Marion|Taylor|Community Foundation of North Central West|Emergency Impact Fund",,West Virginia|Monongalia|Preston,"June 30, 2020|April 17, 2020"
37,"Whanganui Community Foundation: COVID-19 Response Fund
Application Deadline:
July 1, 2020
Geographic Scope: New Zealand
Geographic Focus: Whanganui, Rangitīkei, and Waimarino
The COVID-19 Response Fund will help organisations in Whanganui, Rangitīkei, and Waimarino to cope with the crisis. The focus is on costs incurred in providing goods, services, projects or activities for members of the community most in need on the basis of COVID-19, particularly the elderly, disadvantaged, and other vulnerable people. Increased or unexpected operational costs related to COVID-19 will also be considered. Grants of up to $5,000 will be provided.
Date Added:
April 21, 2020",1,https://www.whanganuicommunityfoundation.org.nz/page/covid-19-response/41/#c19rf, fund| fund,Whanganui Community Foundation|The COVID-19 Response Fund,"up to $5,000",New Zealand|Waimarino|Whanganui|Rangitīkei|Waimarino,"July 1, 2020|April 21, 2020"
38,"Central Kansas Community Foundation: Central Kansas Community Relief Fund
Application Deadline:
August 31, 2020
Geographic Scope: Kansas
Geographic Focus: The counties of Butler, Elk, Harvey, Marion, Sedgwick (Valley Center), and Wilson
The Central Kansas Community Relief Fund supports effects and recovery efforts stemming from the COVID-19 pandemic across the Central Kansas Community Foundation service region, which includes Butler County, Elk County, Harvey County, Marion County, Sedgwick County (Valley Center), and Wilson County. 
Date Added:
March 27, 2020",1,https://centralkansascf.org/covid-19-response/, fund| fund,Central Kansas Community Foundation|Central Kansas Community Relief Fund|Wilson|The Central Kansas Community Relief Fund|the Central Kansas Community Foundation|Valley Center,,Kansas|Butler County|Elk County|Harvey County|Marion County|Sedgwick County|Wilson County,"August 31, 2020|March 27, 2020"
